alpha1,alpha2,alpha3,1-6-13-18,23-24-32-37,24-23-31-36,42-43-51-56,43-42-50-55,61-62-70-75,62-61-69-74,cluster
75.92246514271429,118.3638464058221,94.87187887523913,192.4307658402634,-29.60721073516863,185.52821513425081,3.1420365422656773,177.06078959256755,183.63501054520458,-17.705925283913928,5.0
71.01333452533525,115.09456666295078,69.19484766142043,14.29032086464236,189.91509413635143,148.4358858931582,154.51779575768563,-25.31569855309697,168.76710816889167,16.738786280358518,6.0
73.70827362575014,108.82217228339424,75.2219419550226,183.4660151672611,-9.982453525615165,180.11206944707487,1.6244724705665399,187.86424566022498,184.64737497116926,2.9919202178549718,6.0
76.12288053910095,106.50155030041788,70.44732879801597,176.6822301539615,-2.7595645382082585,187.7245207884664,169.55928184925543,196.92114422911095,177.0912075663558,-8.06843682228592,6.0
76.72433661505922,101.45774685590867,72.10909935109707,188.98211754574245,7.99577866717688,186.40187703479467,174.74024656346737,-9.675196927302407,172.48762734004822,2.425423237988892,6.0
77.0228109606619,112.72256269343524,71.33365652846453,166.58512298679292,-36.154963687556645,176.903599823221,5.249554775335587,165.95404301017737,7.515356889818009,215.2685174694245,6.0
77.95806628039873,111.39501420434041,69.48709263861798,179.37334910355673,203.3492936042506,179.8255207755068,174.0653038186399,1.8768070894581754,161.33182959952077,2.9821517804892883,6.0
81.3100151618131,103.21959180976276,62.458742622349625,197.04108910762253,190.40225086709157,11.516931497184451,-13.200239522416489,174.32632976119177,195.7305246307551,-4.70408068957432,6.0
76.21142259754244,102.06158500525233,80.85631868356298,164.08515165685094,8.305071730811784,185.73949399269333,191.72224223045188,-27.81879421891097,-32.80756844972946,-43.167254221379984,6.0
73.54123829454218,106.32914133728224,69.53586599488953,143.7145239252323,12.205165790934045,174.96485861728297,4.537386047293017,178.43001906210952,187.82340229147923,171.84540122198527,6.0
76.96462482850498,106.342750212194,71.11873427874255,188.31321889678136,229.2620773123433,151.0341148976396,161.7756861277058,172.3174420224137,154.97727159705832,-2.8542076732792974,6.0
